"longitude","latitude","id","Color.majority","Color.plurality","Color.all","Pattern.majority","Pattern.plurality","Pattern.all","time.n","time.mean","time.min","time.max","time.all","scientific_name","place_guess","common_name","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","s.color","date","year","month","day","elevation","temp","precip"
-80.2333642,37.037727,102045,1,1,"""1""(2)","4","4","""4""(2)",2,1.728673144,1.708350378,1.748995911,"1.7083503779999774,1.7489959109999944","Pantherophis_alleghaniensis","Check, VA","Eastern/Gray Ratsnake Complex","Eastern/Gray Ratsnake Complex","Reptilia",857190,4,0,"15-Mar-12","3/15/12","black","2012-03-15",2012,3,15,805,10.75,1094
-78.40136041,35.70675743,10219823,1,1,"""1""(2)","4","4","""4""(2)",2,145.9227716,4.303374057,287.5421691,"287.5421691099998,4.303374057000013","Pantherophis_alleghaniensis","Clayton, NC  27527, Clayton, NC, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"Fri Mar 09 2018 17:45:01 GMT-0500 (EST)","3/9/18","black","2018-03-09",2018,3,9,71,15.3500003814697,1175
-82.30773833,29.53332,10227401,5,5,"""5""(2)","2","2","""2""(2)",2,2.480999296,2.031190851,2.930807741,"2.9308077410000806,2.031190850999991","Pantherophis_alleghaniensis","1–169 Regatta Dr, Micanopy, FL, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,4,0,"Thu May 28 2015 09:26:56 GMT-0400 (EDT)","5/28/15","yellow","2015-05-28",2015,5,28,26,20.4958343505859,1328
-77.5404459,38.6257441,10244660,1,1,"""1""(2)","4","4","""4""(2)",2,1.843167575,1.670812161,2.015522988,"2.015522988000157,1.6708121609999864","Pantherophis_alleghaniensis","14712 Deepwood Ln, Nokesville, VA 20181, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"2012/04/15 1:01 PM EDT","4/15/12","black","2012-04-15",2012,4,15,63,13.0833330154419,990
-81.2408689,31.4764158,10244698,3,3,"""3""(2),""5""(1)","2","2","""2""(3)",3,2.997210994,1.401566047,4.404125981,"3.1859409529999994,4.4041259810001065,1.4015660469999887","Pantherophis_alleghaniensis","Sapelo Island, Georgia, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"2014/05/24 9:48 PM EDT","5/24/14","light_gray","2014-05-24",2014,5,24,11,19.4500007629395,1308
-81.51306152,26.21459102,10254052,6,6,"""6""(2)","2","2","""2""(2)",2,2.182064588,2.052682804,2.311446372,"2.311446371999864,2.052682804","Pantherophis_alleghaniensis","Rural Estates, FL, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,9,0,"11/16/17 20:39","11/16/17","orange","2017-11-16",2017,11,16,13,23.3624992370605,1309
-82.21730833,33.492195,10275418,1,1,"""1""(2)","4","4","""4""(2)",2,78.70292403,57.29254527,100.1133028,"57.292545267999685,100.11330278899999","Pantherophis_alleghaniensis","4132 Chastain Dr, Grovetown, GA, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"Thu Sep 21 2017 07:10:58 GMT-0400 (EDT)","9/21/17","black","2017-09-21",2017,9,21,98,17.1124992370605,1185
-82.04407232,32.58881433,10292871,4,4,"""4""(2)","1","1","""1""(2)",2,1.984298614,1.28820578,2.680391448,"1.2882057800002258,2.680391447999966","Pantherophis_alleghaniensis","Georgia, US","Eastern/Gray Ratsnake Complex","Eastern/Gray Ratsnake Complex","Reptilia",857190,3,0,"Sun Mar 18 2018 13:23:47 GMT-0400 (EDT)","3/18/18","brown","2018-03-18",2018,3,18,96,18.2541675567627,1193
-81.04463663,25.75839424,10320218,5,5,"""5""(2),""6""(1)","2","2","""2""(3)",3,7.065834684,2.766308469,15.44627459,"2.9849209940000065,15.44627458900004,2.7663084690000233","Pantherophis_alleghaniensis","Monroe County, FL, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"2009/04/22 12:58 PM EDT","4/22/09","yellow","2009-04-22",2009,4,22,4,23.8833332061768,1303
-80.75487215,25.43097179,10320224,5,5,"""5""(2),""6""(1)","2","2","""2""(3)",3,4.365703768,2.194537152,7.798276796,"7.798276795999982,2.1945371520000663,3.1042973560000178","Pantherophis_alleghaniensis","Miami-Dade County, FL, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"2009/04/22 8:14 AM EDT","4/22/09","yellow","2009-04-22",2009,4,22,3,24.2041664123535,1341
-80.97418958,26.69044203,10320391,6,6,"""6""(2)","N/A","N/A","""2""(1),""U""(1)",2,6.512694702,2.32167011,10.70371929,"10.703719294000166,2.3216701100000137","Pantherophis_alleghaniensis","Hendry County, FL, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"2009/04/23 5:19 PM EDT","4/23/09","orange","2009-04-23",2009,4,23,8,23.1333332061768,1226
-81.42588182,31.01784442,10328340,2,2,"""2""(2)","1","1","""1""(2)",2,6.262516686,2.796539313,9.728494058,"2.7965393130002667,9.728494057999967","Pantherophis_alleghaniensis","566–768 S Beachview Dr, Jekyll Island, GA, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"Tue Mar 20 2018 14:15:27 GMT-0400 (EDT)","3/20/18","dark_gray","2018-03-20",2018,3,20,8,19.9416675567627,1290
-80.74029293,33.7890777,10336587,2,2,"""2""(2),""3""(1)","1","1","""1""(3)",3,548.0750629,3.751873247,1634.953654,"3.751873247000006,5.519661516000269,1634.9536540299994","Pantherophis_alleghaniensis","Congaree National Park, Gadsden, SC, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"Fri Apr 29 2016 09:29:33 GMT-0400 (EDT)","4/29/16","dark_gray","2016-04-29",2016,4,29,36,17.1625003814697,1168
-78.95474441,35.31822589,10387264,2,2,"""2""(2)","1","1","""1""(2)",2,2.056207624,1.544937852,2.567477395,"1.5449378520002028,2.567477394999969","Pantherophis_alleghaniensis","Anderson Creek, NC, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,4,0,"2017-04-15 10:44:36 AM EDT","4/15/17","dark_gray","2017-04-15",2017,4,15,90,15.8000001907349,1184
-82.27284167,29.60763833,10423664,3,3,"""3""(2),""5""(1)","2","2","""2""(3)",3,6.939886545,1.871105448,15.54439619,"15.54439619499999,3.4041579919999094,1.8711054479999802","Pantherophis_alleghaniensis","Paynes Prairie Preserve State Park, Gainesville, FL, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,5,1,"Sun Mar 25 2018 12:14:58 GMT-0400 (EDT)","3/25/18","light_gray","2018-03-25",2018,3,25,24,20.4458332061768,1312
-78.9529589,35.3305326,10435413,1,1,"""1""(2),""U""(1)","4","4","""4""(2),""U""(1)",3,2.649361541,1.767100405,3.200464692,"1.7671004049999937,3.2004646919999686,2.980519524998954","Pantherophis_alleghaniensis","4629 Darroch Rd, Lillington, NC 27546, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"2017-05-04 10:20:55 AM EDT","5/4/17","black","2017-05-04",2017,5,4,80,15.8208332061768,1184
-80.579511,35.4087517,10445491,2,2,"""2""(2)","1","1","""1""(2)",2,4.907336936,3.418739051,6.395934821,"3.4187390510001023,6.395934820999855","Pantherophis_alleghaniensis","Concord, Carolina del Norte, EE. UU.","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"2016/06/28 1:20 PM UTC","6/28/16","dark_gray","2016-06-28",2016,6,28,210,15.4583330154419,1161
-81.14687414,27.96678273,10450523,5,5,"""5""(2)","2","2","""2""(2)",2,2.096649383,1.760271253,2.433027514,"2.4330275140000595,1.760271252999928","Pantherophis_alleghaniensis","Osceola County, US-FL, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,6,0,"Tue Mar 27 2018 10:35:18 GMT-0400 (EDT)","3/27/18","yellow","2018-03-27",2018,3,27,24,22.3125,1214
-81.65010273,30.51421532,10455659,5,5,"""5""(2)","2","2","""2""(2)",2,2.071839883,1.666445145,2.477234621,"2.4772346209997522,1.6664451449998978","Pantherophis_alleghaniensis","Florida, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,4,0,"2018-03-27T10:34","3/27/18","yellow","2018-03-27",2018,3,27,12,20.2583332061768,1313
-83.99842129,33.60587892,10479806,1,1,"""1""(2),""U""(1)","4","4","""4""(2),""U""(1)",3,6.118023706,3.019989679,8.515680306,"8.515680306000036,6.818401134000396,3.0199896790002185","Pantherophis_alleghaniensis","3006 Brians Way SE, Conyers, GA, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"Wed Mar 28 2018 17:00:56 GMT-0400 (EDT)","3/28/18","black","2018-03-28",2018,3,28,240,16.5166664123535,1261
-76.64751291,38.07205665,10495040,1,1,"""1""(2)","4","4","""4""(2)",2,1.538383126,1.424899035,1.651867218,"1.4248990349997257,1.6518672180000067","Pantherophis_alleghaniensis","Westmoreland County, VA, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"2018/03/29 2:06 PM EDT","3/29/18","black","2018-03-29",2018,3,29,40,13.8791666030884,1088
-81.07966147,35.27624285,10549335,1,1,"""1""(2)","4","4","""4""(2)",2,2.4759065,2.205451805,2.746361196,"2.2054518049999388,2.7463611959999525","Pantherophis_alleghaniensis","South Fork Catawba River, McAdenville, NC, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"Sun Apr 01 2018 12:42:23 GMT-0400 (EDT)","4/1/18","black","2018-04-01",2018,4,1,202,15.5791664123535,1158
-81.06854,34.0147918,10551218,2,2,"""2""(2),""3""(1)","1","1","""1""(2),""2""(1)",3,14.00356257,8.102063264,25.67036568,"25.67036567899963,8.102063263999753,8.238258757000267","Pantherophis_alleghaniensis","100-198 Mondamin Rd, Columbia, SC 29210, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,4,0,"2018-04-01 2:59:49 PM EDT","4/1/18","dark_gray","2018-04-01",2018,4,1,63,17.6833324432373,1160
-82.21338667,28.45963045,10569576,5,5,"""5""(2)","2","2","""2""(2)",2,2.472844851,2.079257932,2.86643177,"2.866431769999963,2.0792579320000186","Pantherophis_alleghaniensis","Pasco County, FL, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"2018/03/27 7:55 AM HST","3/27/18","yellow","2018-03-27",2018,3,27,31,21.845832824707,1293
-80.4929337,25.38048985,10592854,6,6,"""5""(1),""6""(2)","2","2","""2""(3)",3,6.523492157,4.236829144,9.94721583,"4.236829143999984,5.386431497000103,9.947215830000005","Pantherophis_alleghaniensis","Homestead, FL 33034, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,12,0,"2018-04-03 10:41:59 AM EDT","4/3/18","orange","2018-04-03",2018,4,3,4,24.2541675567627,1398
-80.34472833,33.218025,10612011,3,3,"""3""(2),""5""(1)","2","2","""2""(3)",3,2.237062656,1.672272007,2.764439935,"2.764439935000013,1.6722720070001742,2.27447602500024","Pantherophis_alleghaniensis","Harleyville, SC  29448, Harleyville, SC, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,4,0,"Mon Apr 02 2018 11:42:58 GMT-0400 (EDT)","4/2/18","light_gray","2018-04-02",2018,4,2,27,17.7333335876465,1269
-81.27539063,29.76144409,10628390,5,5,"""5""(2)","2","2","""2""(2)",2,2.315060347,1.305542061,3.324578634,"3.324578633999863,1.3055420609998691","Pantherophis_alleghaniensis","St. Augustine, FL 32086, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,5,1,"2018-04-04 4:23:31 PM EDT","4/4/18","yellow","2018-04-04",2018,4,4,12,20.875,1252
-78.62714863,35.65403758,10640875,2,2,"""2""(2)","1","1","""1""(2)",2,3.186737642,1.941627868,4.431847415,"1.9416278680000687,4.431847415000902","Pantherophis_alleghaniensis","118 Bingham Creek Dr, Garner, NC, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"Mon Apr 02 2018 14:29:44 GMT-0400 (EDT)","4/2/18","dark_gray","2018-04-02",2018,4,2,94,15.4666662216187,1170
-73.926229,41.271213,10645772,2,2,"""2""(2)","1","1","""1""(2)",2,7.129085393,3.52053297,10.73763782,"10.737637817000177,3.5205329699992944","Pantherophis_alleghaniensis","Welcher Ave, Peekskill, NY, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,4,0,"Sun Sep 15 2013 15:15:22 GMT-0500 (CDT)","9/15/13","dark_gray","2013-09-15",2013,9,15,36,10.7250003814697,1215
-80.84402438,35.50062905,10669712,1,1,"""1""(2)","4","4","""4""(2)",2,3.722361101,2.604503156,4.840219045,"2.604503155999737,4.840219045000595","Pantherophis_alleghaniensis","111 Dormitory Dr, Davidson, NC 28036, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"2018-04-03 7:24:25 PM EDT","4/3/18","black","2018-04-03",2018,4,3,253,14.9333333969116,1155
-82.15250552,28.28463826,10670409,5,5,"""5""(2),""6""(1)","2","2","""2""(3)",3,2.121508489,1.472987624,3.045026064,"3.045026063999984,1.8465117780001492,1.4729876239998703","Pantherophis_alleghaniensis","40108 Stewart Rd, Zephyrhills, FL 33540, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,4,0,"2015-01-03 11:48:25 AM EST","1/3/15","yellow","2015-01-03",2015,1,3,51,22.029167175293,1287
-76.57988786,39.03428323,10687112,1,1,"""1""(2)","4","4","""4""(2)",2,1.971543503,1.310078041,2.633008965,"1.310078040999997,2.6330089650000446","Pantherophis_alleghaniensis","Maryland, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"2017/05/27 4:23 PM EDT","5/27/17","black","2017-05-27",2017,5,27,17,13.1208333969116,1115
-77.53548333,38.6242,10711182,1,1,"""1""(2)","4","4","""4""(2)",2,1.39081888,1.284989979,1.496647781,"1.496647780999865,1.2849899789998744","Pantherophis_alleghaniensis","15020 Deepwood Ln, Nokesville, VA, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"Sun Apr 08 2018 11:44:57 GMT-0400 (EDT)","4/8/18","black","2018-04-08",2018,4,8,61,13.1083335876465,992
-77.404663,39.082696,1071385,1,1,"""1""(2)","4","4","""4""(2)",2,1.817416234,1.434441109,2.200391359,"2.200391358999923,1.4344411090000335","Pantherophis_alleghaniensis","McKee-Beshers WMA","Eastern Ratsnake","Pantherophis alleghaniensis","Reptilia",59644,1,0,"6/16/11 7:26","6/16/11","black","2011-06-16",2011,6,16,60,12.7875003814697,1003
-82.24502563,28.90900934,10738128,5,5,"""5""(2),""U""(1)","2","2","""2""(2),""U""(1)",3,3.859758126,2.058860019,7.03470005,"7.034700049999884,2.4857143089998317,2.0588600189998942","Pantherophis_alleghaniensis","Sumter County, FL, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,7,0,"2018/04/09 11:53 AM EDT","4/9/18","yellow","2018-04-09",2018,4,9,19,21.1458339691162,1314
-77.46147618,38.31137358,10740756,2,2,"""2""(2)","1","1","""1""(2)",2,6.482365932,1.686129487,11.27860238,"1.6861294870000165,11.27860237699997","Pantherophis_alleghaniensis","142 River Rd, Fredericksburg, VA 22405, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"2018-04-09 11:52:15 AM EDT","4/9/18","dark_gray","2018-04-09",2018,4,9,16,13.7666664123535,1054
-81.180358,35.817422,10752730,1,1,"""1""(2)","4","4","""4""(2)",2,1.930302369,1.759787752,2.100816986,"1.759787752000193,2.1008169860001544","Pantherophis_alleghaniensis","6700 North Nc 16 Highway, Conover, NC 28613, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"2018/04/09 10:58 AM EDT","4/9/18","black","2018-04-09",2018,4,9,275,14.3666667938232,1207
-78.98635833,35.83398833,10760178,1,1,"""1""(2)","4","4","""4""(2)",2,2.410335258,2.142552626,2.678117889,"2.142552625999997,2.6781178890000774","Pantherophis_alleghaniensis","2077–2799 Transis Camp Rd, Durham, NC, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"Tue Apr 10 2018 12:47:40 GMT-0400 (EDT)","4/10/18","black","2018-04-10",2018,4,10,85,15.2875003814697,1150
-76.50353972,39.08825837,10839284,1,1,"""1""(2)","4","4","""4""(2)",2,2.250441951,1.357970023,3.142913879,"3.1429138789999342,1.3579700230002345","Pantherophis_alleghaniensis","Lake Shore, MD 21122, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"2018/04/12 8:41 PM EDT","4/12/18","black","2018-04-12",2018,4,12,15,13.2250003814697,1116
-77.797129,38.779181,10871764,1,1,"""1""(2)","4","4","""4""(2)",2,1.860751345,1.768339292,1.953163399,"1.7683392919998369,1.9531633990000046","Pantherophis_alleghaniensis","Hanging in some branches along the driveway","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,6,1,"4/12/18","4/12/18","black","2018-04-12",2018,4,12,184,12.4125003814697,1041
-78.64682947,35.72208421,10906350,2,2,"""2""(2)","1","1","""1""(2)",2,3.439699911,1.956989426,4.922410395,"1.9569894260002911,4.922410395000497","Pantherophis_alleghaniensis","1517 Us 70 Hwy W, Garner, NC, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"Sat Apr 14 2018 10:24:07 GMT-0400 (EDT)","4/14/18","dark_gray","2018-04-14",2018,4,14,104,15.4833335876465,1159
-80.2740097,25.67767577,10969068,6,6,"""6""(2)","2","2","""2""(2)",2,3.176746391,1.847860955,4.505631827,"1.8478609550002147,4.505631826999888","Pantherophis_alleghaniensis","Coral Gables, FL, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"2018/04/15 9:43 AM EDT","4/15/18","orange","2018-04-15",2018,4,15,9,24.2749996185303,1472
-74.80319047,39.86681472,10972562,1,1,"""1""(2)","4","4","""4""(2)",2,1.755064641,1.363296915,2.146832368,"1.3632969149998644,2.14683236799965","Pantherophis_alleghaniensis","10 Omaha Trl, Medford Lakes, NJ, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"Sat Apr 14 2018 12:16:47 GMT-0400 (EDT)","4/14/18","black","2018-04-14",2018,4,14,25,12.0208330154419,1171
-76.56403333,36.61528333,10974965,1,1,"""1""(2)","4","4","""4""(2)",2,5.115038112,2.282421702,7.947654522,"2.2824217019997377,7.9476545219999934","Pantherophis_alleghaniensis","Suffolk County, US-VA, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"Sun Apr 15 2018 09:38:56 GMT-0400 (EDT)","4/15/18","black","2018-04-15",2018,4,15,19,15.1125001907349,1241
-77.73789651,37.83382965,10981167,1,1,"""1""(2),""U""(1)","4","4","""4""(2),""U""(1)",3,3.652377982,2.376841264,4.450728999,"4.450728999000006,2.376841264000177,4.129563682000025","Pantherophis_alleghaniensis","15406 Dunn Rd, Montpelier, VA, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"Sun Apr 15 2018 17:32:50 GMT-0400 (EDT)","4/15/18","black","2018-04-15",2018,4,15,108,13.5083332061768,1094
-80.360297,25.1877642,10984210,6,6,"""6""(2)","2","2","""2""(2)",2,3.167509112,2.637803367,3.697214858,"2.637803366999833,3.6972148579998247","Pantherophis_alleghaniensis","Key Largo, Florida, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,14,0,"4/2/09","4/2/09","orange","2009-04-02",2009,4,2,10,24.466667175293,1281
-81.12715791,25.89095372,11003064,6,6,"""6""(2)","2","2","""2""(2)",2,1.302307918,1.245111633,1.359504202,"1.3595042019996981,1.245111633000306","Pantherophis_alleghaniensis","Big Cypress National Preserve, Ochopee, FL, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,5,0,"Wed Nov 02 2016 05:16:59 GMT-0700 (PDT)","11/2/16","orange","2016-11-02",2016,11,2,12,23.6958332061768,1310
-76.64671898,40.08818461,11033789,2,2,"""2""(2)","1","1","""1""(2)",2,2.624013343,1.934123178,3.313903509,"1.9341231779999362,3.3139035089998288","Pantherophis_alleghaniensis","Lancaster County, PA, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"2011/06/06 12:27 PM EDT","6/6/11","dark_gray","2011-06-06",2011,6,6,109,11.3791666030884,1053
-77.040628,38.971137,11041253,1,1,"""1""(2)","4","4","""4""(2)",2,8.737085728,7.114319501,10.35985196,"10.359851955000067,7.1143195009999545","Pantherophis_alleghaniensis","Washington, District of Columbia, United States","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,4,0,"4/14/18 11:42","4/14/18","black","2018-04-14",2018,4,14,85,13.3041667938232,1086
-81.20626831,28.66552544,11115335,5,5,"""5""(2)","2","2","""2""(2)",2,2.123416557,1.570682634,2.67615048,"2.6761504800001603,1.570682633999695","Pantherophis_alleghaniensis","330 S Central Ave, Oviedo, FL 32765, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"2018-02-28 7:28:49 PM EST","2/28/18","yellow","2018-02-28",2018,2,28,24,21.8541660308838,1245
-74.180603,41.742262,1117924,1,1,"""1""(2)","4","4","""4""(2)",2,1.628459128,1.493139482,1.763778773,"1.7637787730000127,1.4931394820000605","Pantherophis_alleghaniensis","Mohonk Preserve, New York","Eastern Ratsnake","Eastern Ratsnake","Reptilia",59644,3,0,"5/23/09 13:27","5/23/09","black","2009-05-23",2009,5,23,312,8.75833320617676,1233
-77.1234015,38.81671193,11179557,2,2,"""2""(2)","1","1","""1""(2)",2,2.936109871,1.752983076,4.119236667,"1.7529830759995093,4.119236667000223","Pantherophis_alleghaniensis","5408-5420 Holmes Run Pkwy, Alexandria, VA 22304, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"2018-04-19 3:45:25 PM EDT","4/19/18","dark_gray","2018-04-19",2018,4,19,36,13.8208332061768,1027
-77.4516147,37.52989442,11210466,1,1,"""1""(2)","4","4","""4""(2)",2,1.447568003,1.423442279,1.471693727,"1.4234422790013923,1.4716937270000017","Pantherophis_alleghaniensis","Duke's Loop Trail, Richmond, VA 23225, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"2018-04-19 3:30:00 PM EDT","4/19/18","black","2018-04-19",2018,4,19,14,15.0625,1088
-77.11416649,38.86172037,11221603,1,1,"""1""(2)","4","4","""4""(2)",2,2.07298198,1.849258707,2.296705254,"2.29670525399888,1.8492587070004447","Pantherophis_alleghaniensis","Glencarlyn Park, Arlington, VA, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,3,0,"Fri Apr 20 2018 13:16:54 GMT-0400 (EDT)","4/20/18","black","2018-04-20",2018,4,20,67,13.6958332061768,1042
-76.86679901,38.92403928,11264004,1,1,"""1""(2)","4","4","""4""(2)",2,3.735528549,1.944071223,5.526985875,"1.9440712230007193,5.526985874999809","Pantherophis_alleghaniensis","Kenmoor Middle School, Hyattsville, MD, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"Sat Apr 21 2018 09:23:00 GMT-0400 (EDT)","4/21/18","black","2018-04-21",2018,4,21,36,13.5791664123535,1100
